GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
A9028za,01yr,Zone,54334,0.21,12.80,5.66,1.51,4.48,12.37,4.32,3.33,64.05,3.95,2.22
A9028za,05yrs,Zone,54334,0.21,12.80,5.66,1.51,4.48,12.37,4.32,3.33,64.05,3.95,2.22
A9028za,10yrs,Zone,54334,0.21,12.80,5.66,1.51,4.48,13.12,4.46,4.30,59.08,3.55,3.18
A9029za,01yr,Zone,57841,0.00,42.60,6.53,5.18,28.74,33.34,6.39,6.43,59.07,4.62,2.76
A9029za,05yrs,Zone,57841,0.00,42.60,6.53,5.18,28.74,33.34,6.39,6.43,59.07,4.62,2.76
A9029za,10yrs,Zone,57841,0.00,42.60,6.53,5.18,28.74,33.81,5.72,7.22,55.91,3.97,4.04
A9030za,01yr,Zone,59174,0.00,71.89,12.46,55.45,1.79,20.83,13.42,15.08,21.41,24.27,8.03
A9030za,05yrs,Zone,59174,0.00,71.89,12.46,55.45,1.79,20.83,13.42,15.08,21.41,24.27,8.03
A9030za,10yrs,Zone,59174,0.00,71.89,12.46,55.45,1.79,18.95,13.22,15.84,21.39,23.58,9.58
A9031za,01yr,Zone,62920,0.00,31.36,17.62,2.01,9.73,28.88,5.52,8.23,43.21,6.16,6.45
A9031za,05yrs,Zone,62920,0.00,31.36,17.62,2.01,9.73,28.88,5.52,8.23,43.21,6.16,6.45
A9031za,10yrs,Zone,62920,0.00,31.36,17.62,2.01,9.73,29.11,6.25,8.42,42.24,7.30,8.32
A9032za,01yr,Zone,58716,0.00,17.52,4.59,1.65,10.28,16.34,8.02,3.07,59.49,3.67,2.38
A9032za,05yrs,Zone,58716,0.00,17.52,4.59,1.65,10.28,16.34,8.02,3.07,59.49,3.67,2.38
A9032za,10yrs,Zone,58716,0.00,17.52,4.59,1.65,10.28,16.30,6.64,3.89,56.70,2.94,2.98
A9033za,01yr,Zone,52817,0.00,95.84,53.41,40.82,0.39,47.25,6.84,24.68,12.43,26.35,20.64
A9033za,05yrs,Zone,52817,0.00,95.84,53.41,40.82,0.39,47.25,6.84,24.68,12.43,26.35,20.64
A9033za,10yrs,Zone,52817,0.00,95.84,53.41,40.82,0.39,41.61,6.88,25.77,11.07,27.72,20.47
A9034za,01yr,Zone,59050,0.47,26.93,8.03,11.78,4.93,14.28,6.78,5.80,46.15,8.32,7.04
A9034za,05yrs,Zone,59050,0.47,26.93,8.03,11.78,4.93,14.28,6.78,5.80,46.15,8.32,7.04
A9034za,10yrs,Zone,59050,0.47,26.93,8.03,11.78,4.93,15.00,7.13,6.23,43.97,8.77,7.71
A9035za,01yr,Zone,56267,29.03,16.83,7.07,3.57,4.68,12.32,7.60,4.69,46.66,4.76,3.70
A9035za,05yrs,Zone,56267,29.03,16.83,7.07,3.57,4.68,12.32,7.60,4.69,46.66,4.76,3.70
A9035za,10yrs,Zone,56267,29.03,16.83,7.07,3.57,4.68,11.55,7.63,5.10,44.46,4.56,4.19
A9036za,01yr,Zone,54850,0.00,95.01,16.07,74.81,1.45,31.23,8.96,15.59,22.06,17.13,13.74
A9036za,05yrs,Zone,54850,0.00,95.01,16.07,74.81,1.45,31.23,8.96,15.59,22.06,17.13,13.74
A9036za,10yrs,Zone,54850,0.00,95.01,16.07,74.81,1.45,29.90,9.66,15.57,20.25,17.60,14.75
A9037za,01yr,Zone,61313,6.55,39.21,30.18,2.93,4.71,27.07,5.96,12.05,33.47,9.71,11.63
A9037za,05yrs,Zone,61313,6.55,39.21,30.18,2.93,4.71,27.07,5.96,12.05,33.47,9.71,11.63
A9037za,10yrs,Zone,61313,6.55,39.21,30.18,2.93,4.71,26.20,6.24,12.27,33.06,8.10,12.01
A9038za,01yr,Zone,58001,0.15,26.90,8.15,5.64,11.29,15.10,6.45,4.58,51.40,5.03,3.36
A9038za,05yrs,Zone,58001,0.15,26.90,8.15,5.64,11.29,15.10,6.45,4.58,51.40,5.03,3.36
A9038za,10yrs,Zone,58001,0.15,26.90,8.15,5.64,11.29,16.49,6.95,5.15,49.72,5.31,4.39
A9039za,01yr,Zone,62029,6.97,14.68,6.16,0.91,6.31,16.55,7.11,4.33,55.65,3.82,4.09
A9039za,05yrs,Zone,62029,6.97,14.68,6.16,0.91,6.31,16.55,7.11,4.33,55.65,3.82,4.09
A9039za,10yrs,Zone,62029,6.97,14.68,6.16,0.91,6.31,14.83,6.06,4.50,52.70,3.80,4.21
A9040za,01yr,Zone,55353,53.19,12.32,6.88,1.89,2.28,9.98,8.97,5.88,38.36,5.99,4.84
A9040za,05yrs,Zone,55353,53.19,12.32,6.88,1.89,2.28,9.98,8.97,5.88,38.36,5.99,4.84
A9040za,10yrs,Zone,55353,53.19,12.32,6.88,1.89,2.28,9.92,8.75,6.84,35.96,6.22,5.98
A9041za,01yr,Zone,54802,2.53,30.48,15.36,6.44,7.10,19.31,7.96,11.63,43.78,8.94,10.59
A9041za,05yrs,Zone,54802,2.53,30.48,15.36,6.44,7.10,19.31,7.96,11.63,43.78,8.94,10.59
A9041za,10yrs,Zone,54802,2.53,30.48,15.36,6.44,7.10,18.33,7.06,10.92,43.41,8.34,10.18
A9042za,01yr,Zone,58843,0.00,64.23,25.42,33.81,3.10,33.59,7.77,11.81,26.14,8.42,10.92
A9042za,05yrs,Zone,58843,0.00,64.23,25.42,33.81,3.10,33.59,7.77,11.81,26.14,8.42,10.92
A9042za,10yrs,Zone,58843,0.00,64.23,25.42,33.81,3.10,31.79,7.70,12.58,24.82,9.15,11.01
A9043za,01yr,Zone,55362,0.00,96.69,10.51,81.97,2.24,27.10,15.80,15.38,16.29,23.01,10.58
