GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
US,Male,HL,10yrs,676668747,19405,2.8,2.8,2.9,344864731,11446,3.2,3.1,3.2,79391749,2391,3.0,2.9,3.2,185049915,4281,2.7,2.6,2.8,63395954,1019,1.6,1.5,1.7,3966398,74,1.9,1.5,2.4,United States,Nationwide
34,Both,KS,10yrs,91667279,365,0.4,0.3,0.4,51090666,154,0.2,0.2,0.3,12318891,104,0.8,0.7,1.0,18929916,89,0.6,0.5,0.7,9150235,,,,,177571,,,,,New Jersey,State
34,Female,KS,10yrs,46688903,64,0.1,0.1,0.2,26021537,29,0.1,0.0,0.1,6488931,21,0.3,0.2,0.5,9419298,,,,,4667695,,,,,91442,,,,,New Jersey,State
34,Male,KS,10yrs,44978376,301,0.7,0.6,0.7,25069129,125,0.4,0.3,0.5,5829960,83,1.4,1.1,1.8,9510618,79,1.1,0.8,1.4,4482540,,,,,86129,,,,,New Jersey,State
34001,Both,KS,10yrs,2751588,,,,,1571599,,,,,424011,,,,,521705,,,,,227277,,,,,6996,,,,,Atlantic County,County
34001,Female,KS,10yrs,1413421,,,,,806745,,,,,226353,,,,,259364,,,,,117530,,,,,3429,,,,,Atlantic County,County
34001,Male,KS,10yrs,1338167,,,,,764854,,,,,197658,,,,,262341,,,,,109747,,,,,3567,,,,,Atlantic County,County
34003,Both,KS,10yrs,9463449,38,0.3,0.2,0.5,5396883,20,0.3,0.2,0.5,548454,,,,,1908132,,,,,1597550,,,,,12430,,,,,Bergen County,County
34003,Female,KS,10yrs,4845122,,,,,2748193,,,,,288881,,,,,969112,,,,,832327,,,,,6609,,,,,Bergen County,County
34003,Male,KS,10yrs,4618327,35,0.7,0.5,1.0,2648690,19,0.6,0.3,1.0,259573,,,,,939020,,,,,765223,,,,,5821,,,,,Bergen County,County
